y,U_0,U_1,U_2
0,10.0350879469,0,8.30686104228e-07
0.900900900901,10.035088598,6.49584377734e-06,8.273778889e-07
1.8018018018,10.0350892491,1.29916875547e-05,8.24069673572e-07
2.7027027027,10.0350899002,1.9487531332e-05,8.20761458245e-07
3.6036036036,10.0350905513,2.59833751093e-05,8.17453242918e-07
4.5045045045,10.0350912025,3.24792188867e-05,8.1414502759e-07
5.40540540541,10.0350918536,3.8975062664e-05,8.10836812263e-07
6.30630630631,10.0350925047,4.5469818678e-05,8.14598122733e-07
7.20720720721,10.0350931558,5.19643571393e-05,8.19773338362e-07
8.10810810811,10.0350938069,5.84588956005e-05,8.24948553992e-07
9.00900900901,10.035094458,6.49534340618e-05,8.30123769621e-07
9.90990990991,10.0350951092,7.14479725231e-05,8.35298985251e-07
10.8108108108,10.0350957603,7.79425109844e-05,8.4047420088e-07
11.7117117117,10.0350972811,8.4450908314e-05,8.36532718388e-07
12.6126126126,10.0350992368,9.09662350778e-05,8.28032886836e-07
13.5135135135,10.0351011926,9.74815618416e-05,8.19533055284e-07
14.4144144144,10.0351031483,0.000103996888605,8.11033223732e-07
15.3153153153,10.035105104,0.000110512215369,8.0253339218e-07
16.2162162162,10.0351070597,0.000117027542133,7.94033560628e-07
17.1171171171,10.0351090155,0.000123542185524,7.96511157191e-07
18.018018018,10.0351109712,0.000130056145543,8.0996618187e-07
18.9189189189,10.0351129269,0.000136570105562,8.23421206548e-07
19.8198198198,10.0351148826,0.000143084065581,8.36876231227e-07
20.7207207207,10.0351168383,0.0001495980256,8.50331255906e-07
21.6216216216,10.0351187941,0.000156111985619,8.63786280584e-07
22.5225225225,10.0351211777,0.000162636402959,8.68526436964e-07
23.4234234234,10.0351244172,0.000169181734939,8.55836856747e-07
24.3243243243,10.0351276567,0.000175727066919,8.4314727653e-07
25.2252252252,10.0351308963,0.0001822723989,8.30457696312e-07
26.1261261261,10.0351341358,0.00018881773088,8.17768116095e-07
27.027027027,10.0351373753,0.000195363062861,8.05078535878e-07
27.9279279279,10.0351406148,0.000201908148877,7.97870250773e-07
28.8288288288,10.0351438543,0.000208452005074,8.18068441237e-07
29.7297297297,10.0351470938,0.00021499586127,8.382666317e-07
30.6306306306,10.0351503334,0.000221539717467,8.58464822163e-07
31.5315315315,10.0351535729,0.000228083573664,8.78663012626e-07
32.4324324324,10.0351568124,0.00023462742986,8.98861203089e-07
33.3333333333,10.0351600519,0.000241171286057,9.19059393552e-07
34.2342342342,10.035164528,0.000247757283985,9.01134659193e-07
35.1351351351,10.035169004,0.000254343281912,8.83209924834e-07
36.036036036,10.03517348,0.00026092927984,8.65285190474e-07
