y,Ux
0.0,0.0028077266566666204
0.00900900900901,0.002808026405000034
0.018018018018,0.0028083261533332995
0.027027027026999998,0.0028086259000000466
0.036036036036,0.0028089256483333123
0.045045045044999996,0.0028092253966667258
0.0540540540541,0.0028095251449999914
0.0630630630631,0.002809824893333405
0.0720720720721,0.0028101246416666705
0.0810810810811,0.0028104243866666026
0.09009009009010001,0.002810724131666683
0.0990990990991,0.002811023876666615
0.10810810810799999,0.002811323621666695
0.117117117117,0.002811623366666627
0.126126126126,0.0028119231116667067
0.135135135135,0.0028122228566666387
0.144144144144,0.002812606196666678
0.153153153153,0.002813491099999954
0.162162162162,0.0028143760050000446
0.171171171171,0.0028152609083333204
0.18018018017999998,0.0028161458116665963
0.18918918918900002,0.0028170307166666872
0.198198198198,0.002817915619999963
0.207207207207,0.0028188005250000536
0.21621621621599998,0.0028196854266666627
0.22522522522500002,0.0028205703233332713
0.234234234234,0.002821455218333361
0.243243243243,0.0028223401149999696
0.252252252252,0.0028232250116667266
0.261261261261,0.002824109908333335
0.27027027027,0.002824994803333277
0.279279279279,0.0028258797000000335
0.288288288288,0.0028269382966666554
0.297297297297,0.002828431143333384
0.306306306306,0.002829923989999964
0.315315315315,0.0028314168366666928
0.324324324324,0.0028329096816666066
0.33333333333299997,0.002834402528333335
0.342342342342,0.0028358953750000637
0.351351351351,0.0028373882216666444
0.36036036035999996,0.0028388810650000393
0.36936936936899994,0.002840373898333285
0.37837837837800004,0.002841866733333346
0.387387387387,0.002843359568333407
0.396396396396,0.00284485240333332
0.405405405405,0.002846345238333381
0.414414414414,0.002847838073333294
0.423423423423,0.002849330908333355
0.43243243243199997,0.0028511074950000235
0.44144144144099995,0.002853262416666613
0.45045045045000004,0.002855417340000018
0.459459459459,0.0028575722633332745
0.468468468468,0.0028597271850000125
0.477477477477,0.002861882108333269
0.486486486486,0.002864037030000007
0.495495495495,0.0028661919533332636
0.504504504505,0.0028683468666666676
0.513513513514,0.002870501773333404
0.522522522523,0.002872656679999993
0.5315315315320001,0.0028748115850000624
0.540540540541,0.0028769664916666513
0.54954954955,0.002879121396666721
0.558558558559,0.0028812763033333097
0.567567567568,0.002883431210000046
0.576576576577,0.0028859848083332786
0.5855855855859999,0.0028888374250000126
0.5945945945950001,0.002891690043333265
0.603603603604,0.002894542661666666
0.612612612613,0.0028973952783334
0.621621621622,0.0029002478966666523
0.630630630631,0.002903100515000053
0.63963963964,0.0029059531333333055
0.648648648649,0.002908805736666705
0.657657657658,0.0029116583316666222
0.6666666666669999,0.0029145109266666878
0.675675675676,0.002917363521666605
0.6846846846850001,0.0029202161166666705
0.693693693694,0.0029230687116667355
0.7027027027030001,0.002925921306666653
0.711711711712,0.0029287739016667183
0.720720720721,0.002932156796666696
0.7297297297299999,0.0029357518116666093
0.738738738739,0.0029393468266666702
0.7477477477479999,0.0029429418416667317
0.756756756757,0.0029465368566666448
0.7657657657660001,0.0029501318716667058
0.774774774775,0.002953726884999952
0.783783783784,0.002957321900000013
0.792792792793,0.002960916891666739
0.801801801802,0.00296451187666665
0.8108108108109999,0.0029681068616667083
0.81981981982,0.002971701844999952
0.8288288288290001,0.0029752968300000107
0.837837837838,0.0029788918150000696
0.8468468468470001,0.0029824867999999802
0.855855855856,0.0029860817850000387
0.864864864865,0.0029903667633333817
0.873873873874,0.002994766739999951
0.882882882883,0.002999166716666668
0.8918918918919999,0.003003566695000052
0.9009009009010001,0.003007966671666621
0.9099099099100001,0.0030123666500000055
0.918918918919,0.0030167666266667226
0.927927927928,0.003021166603333292
0.936936936937,0.003025566545000006
0.945945945946,0.003029966483333387
0.9549549549549999,0.003034366419999953
0.963963963964,0.0030387663583333335
0.972972972973,0.003043166296666714
0.981981981982,0.003047566234999947
0.990990990991,0.003051966173333328
1.0,0.0030563661100000417
1.00900900901,0.0030616559183333316
1.01801801802,0.003066945724999955
1.02702702703,0.0030722355316667263
1.03603603604,0.00307752533833335
1.04504504505,0.003082815144999973
1.0540540540499999,0.003088104951666596
1.06306306306,0.0030933947583333676
1.0720720720699999,0.003098684561666657
1.08108108108,0.0031039743183332766
1.09009009009,0.0031092640750000435
1.0990990991,0.003114553831666663
1.10810810811,0.003119843586666615
1.11711711712,0.0031251333433333825
1.12612612613,0.0031304231000000016
1.1351351351399999,0.0031357128566666206
1.14414414414,0.0031411456300000453
1.15315315315,0.003147436506666601
1.16216216216,0.0031537273849999714
1.1711711711700001,0.003160018261666675
1.18018018018,0.0031663091400000454
1.1891891891900002,0.003172600016666601
1.1981981982,0.0031788908949999715
1.20720720721,0.003185181771666675
1.21621621622,0.003191472636666711
1.22522522523,0.003197763448333261
1.2342342342300001,0.003204054261666626
1.24324324324,0.003210345073333324
1.25225225225,0.003216635886666689
1.26126126126,0.003222926700000054
1.27027027027,0.0032292175116666044
1.27927927928,0.0032355083249999694
1.28828828829,0.0032421262199999745
1.2972972973,0.003249561821666654
1.30630630631,0.0032569974233333334
1.3153153153200001,0.0032644330233333463
1.32432432432,0.003271868625000026
1.3333333333300001,0.003279304226666705
1.34234234234,0.003286739828333385
1.3513513513500002,0.0032941754300000645
1.36036036036,0.0033016110016665934
1.3693693693700002,0.003309046519999933
1.37837837838,0.003316482038333272
1.3873873873900002,0.003323917558333278
1.3963963964000001,0.0033313530766666175
1.40540540541,0.0033387885966666233
1.41441441441,0.0033462241149999628
1.42342342342,0.003353659633333302
1.43243243243,0.0033616649066667095
1.4414414414399999,0.00337042985000006
1.45045045045,0.0033791947933332622
1.4594594594599999,0.0033879597366666125
