y,U_0,U_1,U_2
0,10.0334275365,0,8.92006130831e-07
0.900900900901,10.0334285447,2.81608578968e-06,8.90072299155e-07
1.8018018018,10.0334295529,5.63217157937e-06,8.88138467479e-07
2.7027027027,10.0334305611,8.44825736905e-06,8.86204635803e-07
3.6036036036,10.0334315693,1.12643431587e-05,8.84270804128e-07
4.5045045045,10.0334325776,1.40804289484e-05,8.82336972452e-07
5.40540540541,10.0334335858,1.68965147381e-05,8.80403140776e-07
6.30630630631,10.033434594,1.97126005278e-05,8.784693091e-07
7.20720720721,10.0334356022,2.25285623858e-05,8.7697676119e-07
8.10810810811,10.0334366105,2.53429131324e-05,8.81220902231e-07
9.00900900901,10.0334376187,2.8157263879e-05,8.85465043272e-07
9.90990990991,10.0334386269,3.09716146256e-05,8.89709184313e-07
10.8108108108,10.0334396351,3.37859653722e-05,8.93953325354e-07
11.7117117117,10.0334406433,3.66003161187e-05,8.98197466394e-07
12.6126126126,10.0334416516,3.94146668653e-05,9.02441607435e-07
13.5135135135,10.0334426598,4.22290176119e-05,9.06685748476e-07
14.4144144144,10.0334439376,4.50551505478e-05,9.0966854857e-07
15.3153153153,10.0334468326,4.79519766198e-05,9.05083302978e-07
16.2162162162,10.0334497277,5.08488026917e-05,9.00498057386e-07
17.1171171171,10.0334526228,5.37456287637e-05,8.95912811794e-07
18.018018018,10.0334555178,5.66424548356e-05,8.91327566203e-07
18.9189189189,10.0334584129,5.95392809076e-05,8.86742320611e-07
19.8198198198,10.033461308,6.24361069795e-05,8.82157075019e-07
20.7207207207,10.033464203,6.53329330515e-05,8.77571829428e-07
21.6216216216,10.0334670981,6.82293596514e-05,8.7631069717e-07
22.5225225225,10.0334699932,7.11243215206e-05,8.87237980471e-07
23.4234234234,10.0334728882,7.40192833898e-05,8.98165263771e-07
24.3243243243,10.0334757833,7.69142452589e-05,9.09092547071e-07
25.2252252252,10.0334786783,7.98092071281e-05,9.20019830372e-07
26.1261261261,10.0334815734,8.27041689973e-05,9.30947113672e-07
27.027027027,10.0334844684,8.55991308664e-05,9.41874396973e-07
27.9279279279,10.0334873635,8.84940927356e-05,9.52801680273e-07
28.8288288288,10.0334907412,9.14295458145e-05,9.58391302535e-07
29.7297297297,10.0334953256,9.44662269175e-05,9.506367722e-07
30.6306306306,10.03349991,9.75029080205e-05,9.42882241864e-07
31.5315315315,10.0335044944,0.000100539589124,9.35127711529e-07
32.4324324324,10.0335090788,0.000103576270227,9.27373181194e-07
33.3333333333,10.0335136632,0.00010661295133,9.19618650859e-07
34.2342342342,10.0335182476,0.000109649632433,9.11864120524e-07
35.1351351351,10.0335228319,0.000112686313536,9.04109590188e-07
36.036036036,10.0335274163,0.000115722243282,9.05493999602e-07
36.9369369369,10.0335320007,0.000118756820585,9.23328500563e-07
37.8378378378,10.0335365851,0.000121791397888,9.41163001524e-07
38.7387387387,10.0335411694,0.000124825975191,9.58997502485e-07
39.6396396396,10.0335457538,0.000127860552495,9.76832003446e-07
40.5405405405,10.0335503382,0.000130895129798,9.94666504407e-07
41.4414414414,10.0335549225,0.000133929707101,1.01250100537e-06
42.3423423423,10.0335595069,0.000136964284404,1.03033550633e-06
43.2432432432,10.0335647635,0.00014008062286,1.03441476339e-06
44.1441441441,10.0335709162,0.000143305976184,1.02015369524e-06
45.045045045,10.033577069,0.000146531329509,1.00589262709e-06
45.9459459459,10.0335832218,0.000149756682834,9.91631558947e-07
46.8468468468,10.0335893746,0.000152982036159,9.773704908e-07
47.7477477477,10.0335955274,0.000156207389484,9.63109422653e-07
