y,U_0,U_1,U_2
0,10.0279911483,0,1.15599950991e-06
0.900900900901,10.0279941318,-9.88536469644e-05,1.33767569214e-06
1.8018018018,10.0279971153,-0.000197707293929,1.51935187436e-06
2.7027027027,10.0280000987,-0.000296560940893,1.70102805658e-06
3.6036036036,10.0280030822,-0.000395414587858,1.8827042388e-06
4.5045045045,10.0280060657,-0.000494268234822,2.06438042102e-06
5.40540540541,10.0280090492,-0.000593121881786,2.24605660324e-06
6.30630630631,10.0280120327,-0.000691975528751,2.42773278547e-06
7.20720720721,10.0280150161,-0.000790829371568,2.58367986104e-06
8.10810810811,10.0280179995,-0.00088968576047,2.40514855016e-06
9.00900900901,10.028020983,-0.000988542149371,2.22661723928e-06
9.90990990991,10.0280239664,-0.00108739853827,2.04808592841e-06
10.8108108108,10.0280269498,-0.00118625492717,1.86955461753e-06
11.7117117117,10.0280299332,-0.00128511131608,1.69102330665e-06
12.6126126126,10.0280329166,-0.00138396770498,1.51249199577e-06
13.5135135135,10.0280359001,-0.00148282409388,1.33396068489e-06
14.4144144144,10.0280397157,-0.00158186222676,1.25031741898e-06
15.3153153153,10.0280485243,-0.0016819908235,1.73600242282e-06
16.2162162162,10.028057333,-0.00178211942025,2.22168742666e-06
17.1171171171,10.0280661417,-0.001882248017,2.7073724305e-06
18.018018018,10.0280749503,-0.00198237661374,3.19305743434e-06
18.9189189189,10.028083759,-0.00208250521049,3.67874243818e-06
19.8198198198,10.0280925677,-0.00218263380723,4.16442744202e-06
20.7207207207,10.0281013763,-0.00228276240398,4.65011244586e-06
21.6216216216,10.028110185,-0.0023828916318,4.9295368618e-06
22.5225225225,10.0281189935,-0.00248302317356,4.45267245543e-06
23.4234234234,10.028127802,-0.00258315471533,3.97580804907e-06
24.3243243243,10.0281366105,-0.00268328625709,3.49894364271e-06
25.2252252252,10.028145419,-0.00278341779885,3.02207923634e-06
26.1261261261,10.0281542275,-0.00288354934061,2.54521482998e-06
27.027027027,10.028163036,-0.00298368088238,2.06835042361e-06
27.9279279279,10.0281718445,-0.00308381242414,1.59148601725e-06
28.8288288288,10.0281823826,-0.00318454663545,1.46452370164e-06
29.7297297297,10.0281972444,-0.00328678752063,2.21231661292e-06
30.6306306306,10.0282121062,-0.0033890284058,2.96010952419e-06
31.5315315315,10.028226968,-0.00349126929098,3.70790243547e-06
32.4324324324,10.0282418298,-0.00359351017616,4.45569534675e-06
33.3333333333,10.0282566916,-0.00369575106134,5.20348825803e-06
34.2342342342,10.0282715534,-0.00379799194651,5.9512811693e-06
35.1351351351,10.0282864152,-0.00390023283169,6.69907408058e-06
36.036036036,10.0283012769,-0.00400247490956,6.91789138032e-06
36.9369369369,10.0283161384,-0.00410471913429,6.18455257932e-06
37.8378378378,10.028331,-0.00420696335901,5.45121377831e-06
38.7387387387,10.0283458615,-0.00430920758373,4.7178749773e-06
39.6396396396,10.0283607231,-0.00441145180846,3.98453617629e-06
40.5405405405,10.0283755846,-0.00451369603318,3.25119737528e-06
41.4414414414,10.0283904462,-0.0046159402579,2.51785857427e-06
42.3423423423,10.0284053077,-0.00471818448263,1.78451977326e-06
43.2432432432,10.0284229946,-0.00482171570977,1.81432198015e-06
44.1441441441,10.0284444485,-0.00492696294014,2.86164553089e-06
45.045045045,10.0284659024,-0.00503221017051,3.90896908164e-06
45.9459459459,10.0284873563,-0.00513745740088,4.95629263238e-06
46.8468468468,10.0285088101,-0.00524270463124,6.00361618313e-06
47.7477477477,10.028530264,-0.00534795186161,7.05093973387e-06
48.6486486486,10.0285517179,-0.00545319909198,8.09826328462e-06
49.5495495495,10.0285731718,-0.00555844632235,9.14558683536e-06
50.4504504505,10.0285946255,-0.00566369553378,9.15625422693e-06
51.3513513514,10.0286160791,-0.00576894672628,8.13026545933e-06
52.2522522523,10.0286375326,-0.00587419791877,7.10427669174e-06
53.1531531532,10.0286589861,-0.00597944911126,6.07828792414e-06
54.0540540541,10.0286804397,-0.00608470030376,5.05229915655e-06
54.954954955,10.0287018932,-0.00618995149625,4.02631038894e-06
55.8558558559,10.0287233468,-0.00629520268874,3.00032162134e-06
56.7567567568,10.0287448003,-0.00640045388124,1.97433285375e-06
57.6576576577,10.0287702235,-0.00650806107722,2.32781479193e-06
58.5585585586,10.028798624,-0.00661743527583,3.71589975945e-06
59.4594594595,10.0288270246,-0.00672680947443,5.10398472696e-06
60.3603603604,10.0288554251,-0.00683618367304,6.49206969448e-06
61.2612612613,10.0288838256,-0.00694555787164,7.88015466199e-06
62.1621621622,10.0289122261,-0.00705493207025,9.26823962951e-06
63.0630630631,10.0289406266,-0.00716430626885,1.0656324597e-05
63.963963964,10.0289690271,-0.00727368046746,1.20444095645e-05
64.8648648649,10.0289974273,-0.00738305781255,1.16669684231e-05
65.7657657658,10.0290258274,-0.00749243690568,1.03086794434e-05
66.6666666667,10.0290542274,-0.00760181599882,8.95039046366e-06
67.5675675676,10.0290826274,-0.00771119509196,7.59210148393e-06
68.4684684685,10.0291110275,-0.00782057418509,6.23381250421e-06
69.3693693694,10.0291394275,-0.00792995327823,4.87552352448e-06
70.2702702703,10.0291678275,-0.00803933237137,3.51723454476e-06
71.1711711712,10.0291962276,-0.0081487114645,2.15894556503e-06
72.0720720721,10.0292299077,-0.00826187524707,3.03927551384e-06
72.972972973,10.0292656999,-0.00837655290541,4.81505303408e-06
73.8738738739,10.0293014921,-0.00849123056375,6.59083055431e-06
74.7747747748,10.0293372843,-0.00860590822209,8.36660807455e-06
75.6756756757,10.0293730765,-0.00872058588044,1.01423855948e-05
76.5765765766,10.0294088687,-0.00883526353878,1.1918163115e-05
77.4774774775,10.0294446609,-0.00894994119712,1.36939406352e-05
78.3783783784,10.0294804531,-0.00906461885546,1.54697181555e-05
79.2792792793,10.0295162448,-0.00917930141803,1.44867615844e-05
80.1801801802,10.0295520363,-0.00929398531812,1.27514229885e-05
81.0810810811,10.0295878279,-0.00940866921821,1.10160843925e-05
81.981981982,10.0296236194,-0.0095233531183,9.28074579652e-06
82.8828828829,10.029659411,-0.00963803701839,7.54540720056e-06
83.7837837838,10.0296952025,-0.00975272091848,5.8100686046e-06
84.6846846847,10.0297309941,-0.00986740481857,4.07473000864e-06
85.5855855856,10.0297667856,-0.00998208871866,2.33939141267e-06
86.4864864865,10.0298094475,-0.010102453105,3.99556562864e-06
87.3873873874,10.0298532544,-0.010223764239,6.21699197993e-06
88.2882882883,10.0298970613,-0.0103450753731,8.43841833123e-06
89.1891891892,10.0299408682,-0.0104663865071,1.06598446825e-05
90.0900900901,10.0299846751,-0.0105876976411,1.28812710338e-05
90.990990991,10.030028482,-0.0107090087752,1.51026973851e-05
91.8918918919,10.0300722889,-0.0108303199092,1.73241237364e-05
92.7927927928,10.0301160958,-0.0109516310433,1.95455500877e-05
93.6936936937,10.0301599019,-0.0110729497615,1.76917672645e-05
94.5945945946,10.030203708,-0.0111942690631,1.55245068125e-05
95.4954954955,10.030247514,-0.0113155883647,1.33572463605e-05
96.3963963964,10.0302913201,-0.0114369076663,1.11899859085e-05
97.2972972973,10.0303351261,-0.0115582269679,9.0227254565e-06
98.1981981982,10.0303789322,-0.0116795462695,6.8554650045e-06
99.0990990991,10.0304227383,-0.0118008655711,4.68820455249e-06
100,10.0304665443,-0.0119221848726,2.52094410049e-06
100.900900901,10.0305192111,-0.0120516086607,5.26161513545e-06
101.801801802,10.0305718779,-0.0121810324487,8.00228617041e-06
102.702702703,10.0306245448,-0.0123104562367,1.07429572054e-05
103.603603604,10.0306772116,-0.0124398800248,1.34836282403e-05
104.504504505,10.0307298784,-0.0125693038128,1.62242992753e-05
105.405405405,10.0307825452,-0.0126987276008,1.89649703102e-05
