y,U_0,U_1,U_2
0,10.0263403519,0,1.06261684683e-06
0.900900900901,10.0263434414,-9.02571160043e-05,1.23521323453e-06
1.8018018018,10.0263465308,-0.000180514232009,1.40780962224e-06
2.7027027027,10.0263496203,-0.000270771348013,1.58040600994e-06
3.6036036036,10.0263527098,-0.000361028464017,1.75300239765e-06
4.5045045045,10.0263557992,-0.000451285580021,1.92559878535e-06
5.40540540541,10.0263588887,-0.000541542696026,2.09819517305e-06
6.30630630631,10.0263619782,-0.00063179981203,2.27079156076e-06
7.20720720721,10.0263650676,-0.000722057113323,2.41895474733e-06
8.10810810811,10.0263681571,-0.000812316823374,2.24948631911e-06
9.00900900901,10.0263712465,-0.000902576533426,2.08001789089e-06
9.90990990991,10.0263743359,-0.000992836243477,1.91054946268e-06
10.8108108108,10.0263774254,-0.00108309595353,1.74108103445e-06
11.7117117117,10.0263805148,-0.00117335566358,1.57161260624e-06
12.6126126126,10.0263836042,-0.00126361537363,1.40214417802e-06
13.5135135135,10.0263866937,-0.00135387508368,1.2326757498e-06
14.4144144144,10.0263906017,-0.00144430757562,1.15304813877e-06
15.3153153153,10.026399421,-0.00153577675889,1.61246543088e-06
16.2162162162,10.0264082404,-0.00162724594215,2.07188272297e-06
17.1171171171,10.0264170597,-0.00171871512542,2.53130001508e-06
18.018018018,10.0264258791,-0.00181018430868,2.99071730718e-06
18.9189189189,10.0264346984,-0.00190165349195,3.45013459928e-06
19.8198198198,10.0264435178,-0.00199312267522,3.90955189138e-06
20.7207207207,10.0264523371,-0.00208459185848,4.36896918349e-06
21.6216216216,10.0264611565,-0.00217606164151,4.63334566645e-06
22.5225225225,10.0264699757,-0.00226753362366,4.18257251592e-06
23.4234234234,10.026478795,-0.00235900560582,3.73179936539e-06
24.3243243243,10.0264876142,-0.00245047758797,3.28102621486e-06
25.2252252252,10.0264964335,-0.00254194957012,2.83025306433e-06
26.1261261261,10.0265052527,-0.00263342155227,2.3794799138e-06
27.027027027,10.026514072,-0.00272489353443,1.92870676327e-06
27.9279279279,10.0265228912,-0.00281636551658,1.47793361274e-06
28.8288288288,10.0265333258,-0.00290840409877,1.35578741386e-06
29.7297297297,10.0265477985,-0.00300185918107,2.05520859411e-06
30.6306306306,10.0265622712,-0.00309531426336,2.75462977435e-06
31.5315315315,10.0265767439,-0.00318876934565,3.4540509546e-06
32.4324324324,10.0265912166,-0.00328222442794,4.15347213484e-06
33.3333333333,10.0266056893,-0.00337567951024,4.85289331509e-06
34.2342342342,10.026620162,-0.00346913459253,5.55231449534e-06
35.1351351351,10.0266346348,-0.00356258967482,6.25173567558e-06
36.036036036,10.0266491074,-0.00365604589599,6.45654892265e-06
36.9369369369,10.02666358,-0.00374950416713,5.77106789e-06
37.8378378378,10.0266780525,-0.00384296243826,5.08558685735e-06
38.7387387387,10.0266925251,-0.0039364207094,4.40010582469e-06
39.6396396396,10.0267069977,-0.00402987898054,3.71462479204e-06
40.5405405405,10.0267214702,-0.00412333725168,3.02914375939e-06
41.4414414414,10.0267359428,-0.00421679552281,2.34366272674e-06
42.3423423423,10.0267504154,-0.00431025379395,1.65818169409e-06
43.2432432432,10.0267675758,-0.00440489450274,1.68124328768e-06
44.1441441441,10.02678832,-0.00450111179508,2.64902838293e-06
45.045045045,10.0268090643,-0.00459732908741,3.61681347818e-06
45.9459459459,10.0268298085,-0.00469354637974,4.58459857343e-06
46.8468468468,10.0268505528,-0.00478976367208,5.55238366868e-06
47.7477477477,10.026871297,-0.00488598096441,6.52016876393e-06
48.6486486486,10.0268920413,-0.00498219825674,7.48795385918e-06
49.5495495495,10.0269127855,-0.00507841554908,8.45573895443e-06
50.4504504505,10.0269335296,-0.00517463473914,8.46595138945e-06
51.3513513514,10.0269542737,-0.00527085582694,7.51859116423e-06
52.2522522523,10.0269750177,-0.00536707691474,6.57123093902e-06
53.1531531532,10.0269957618,-0.00546329800254,5.6238707138e-06
54.0540540541,10.0270165058,-0.00555951909034,4.67651048859e-06
54.954954955,10.0270372498,-0.00565574017814,3.72915026337e-06
55.8558558559,10.0270579939,-0.00575196126594,2.78179003816e-06
56.7567567568,10.0270787379,-0.00584818235374,1.83442981294e-06
57.6576576577,10.0271033368,-0.00594653863892,2.15572970858e-06
58.5585585586,10.0271308268,-0.00604649632214,3.42852469485e-06
59.4594594595,10.0271583168,-0.00614645400536,4.70131968112e-06
60.3603603604,10.0271858068,-0.00624641168858,5.97411466739e-06
61.2612612613,10.0272132968,-0.00634636937179,7.24690965366e-06
62.1621621622,10.0272407868,-0.00644632705501,8.51970463993e-06
63.0630630631,10.0272682769,-0.00654628473823,9.7924996262e-06
63.963963964,10.0272957669,-0.00664624242145,1.10652946125e-05
64.8648648649,10.0273232567,-0.00674620312686,1.07199451055e-05
65.7657657658,10.0273507464,-0.00684616551126,9.47562643558e-06
66.6666666667,10.0273782362,-0.00694612789566,8.23130776567e-06
67.5675675676,10.0274057259,-0.00704609028006,6.98698909575e-06
68.4684684685,10.0274332156,-0.00714605266447,5.74267042585e-06
69.3693693694,10.0274607054,-0.00724601504887,4.49835175593e-06
70.2702702703,10.0274881951,-0.00734597743327,3.25403308603e-06
71.1711711712,10.0275156848,-0.00744593981768,2.00971441611e-06
72.0720720721,10.0275483509,-0.00754931266704,2.81258475588e-06
72.972972973,10.0275830874,-0.0076540497024,4.43433069953e-06
73.8738738739,10.027617824,-0.00775878673775,6.05607664317e-06
74.7747747748,10.0276525605,-0.0078635237731,7.67782258681e-06
75.6756756757,10.0276872971,-0.00796826080846,9.29956853046e-06
76.5765765766,10.0277220337,-0.00807299784381,1.09213144741e-05
77.4774774775,10.0277567702,-0.00817773487917,1.25430604177e-05
78.3783783784,10.0277915068,-0.00828247191452,1.41648063614e-05
79.2792792793,10.027826243,-0.00838721367196,1.32684832562e-05
80.1801801802,10.0278609792,-0.00849195671724,1.16854140468e-05
81.0810810811,10.0278957154,-0.00859669976253,1.01023448374e-05
81.981981982,10.0279304516,-0.00870144280781,8.51927562795e-06
82.8828828829,10.0279651878,-0.00880618585309,6.93620641853e-06
83.7837837838,10.027999924,-0.00891092889837,5.35313720911e-06
84.6846846847,10.0280346602,-0.00901567194366,3.7700679997e-06
85.5855855856,10.0280693964,-0.00912041498894,2.18699879028e-06
86.4864864865,10.0281108836,-0.00923025996006,3.69628597103e-06
87.3873873874,10.028153496,-0.00934095525215,5.72096588347e-06
88.2882882883,10.0281961083,-0.00945165054424,7.74564579593e-06
89.1891891892,10.0282387207,-0.00956234583633,9.77032570838e-06
90.0900900901,10.028281333,-0.00967304112842,1.17950056208e-05
90.990990991,10.0283239454,-0.00978373642052,1.38196855333e-05
91.8918918919,10.0283665577,-0.00989443171261,1.58443654457e-05
92.7927927928,10.0284091701,-0.0100051270047,1.78690453582e-05
93.6936936937,10.028451782,-0.010115829616,1.61817903945e-05
94.5945945946,10.0284943939,-0.0102265327902,1.42090019788e-05
95.4954954955,10.0285370058,-0.0103372359645,1.22362135632e-05
96.3963963964,10.0285796177,-0.0104479391388,1.02634251475e-05
97.2972972973,10.0286222296,-0.0105586423131,8.29063673182e-06
98.1981981982,10.0286648415,-0.0106693454874,6.31784831616e-06
99.0990990991,10.0287074534,-0.0107800486616,4.34505990049e-06
100,10.0287500653,-0.0108907518359,2.37227148482e-06
100.900900901,10.0288013808,-0.0110087229138,4.86749557456e-06
101.801801802,10.0288526962,-0.0111266939916,7.36271966429e-06
102.702702703,10.0289040117,-0.0112446650694,9.85794375403e-06
103.603603604,10.0289553271,-0.0113626361473,1.23531678438e-05
104.504504505,10.0290066426,-0.0114806072251,1.48483919335e-05
105.405405405,10.0290579581,-0.011598578303,1.73436160232e-05
106.306306306,10.0291092735,-0.0117165493808,1.9838840113e-05
107.207207207,10.0291605889,-0.0118345212129,2.19825585966e-05
108.108108108,10.0292119038,-0.0119525028503,1.95567042003e-05
109.009009009,10.0292632187,-0.0120704844877,1.7130849804e-05
109.90990991,10.0293145336,-0.0121884661252,1.47049954077e-05
110.810810811,10.0293658484,-0.0123064477626,1.22791410114e-05
111.711711712,10.0294171633,-0.0124244294,9.85328661508e-06
112.612612613,10.0294684782,-0.0125424110374,7.42743221878e-06
113.513513514,10.0295197931,-0.0126603926749,5.00157782248e-06
114.414414414,10.029572506,-0.0127796248687,3.35821048834e-06
115.315315315,10.0296336073,-0.0129063604011,6.40976552715e-06
116.216216216,10.0296947087,-0.0130330959335,9.46132056594e-06
117.117117117,10.02975581,-0.0131598314659,1.25128756047e-05
118.018018018,10.0298169113,-0.0132865669983,1.55644306435e-05
118.918918919,10.0298780126,-0.0134133025306,1.86159856823e-05
119.81981982,10.0299391139,-0.013540038063,2.16675407211e-05
120.720720721,10.0300002152,-0.0136667735954,2.47190957599e-05
121.621621622,10.0300613164,-0.013793512216,2.64827532711e-05
122.522522523,10.030122417,-0.0139202621598,2.35241198478e-05
123.423423423,10.0301835176,-0.0140470121035,2.05654864244e-05
124.324324324,10.0302446182,-0.0141737620473,1.7606853001e-05
125.225225225,10.0303057188,-0.0143005119911,1.46482195776e-05
126.126126126,10.0303668195,-0.0144272619349,1.16895861543e-05
127.027027027,10.0304279201,-0.0145540118787,8.73095273088e-06
127.927927928,10.0304890207,-0.0146807618225,5.77231930751e-06
128.828828829,10.0305533184,-0.0148104950012,4.72116016198e-06
129.72972973,10.0306256087,-0.0149476862674,8.43868671103e-06
130.630630631,10.0306978991,-0.0150848775337,1.21562132601e-05
131.531531532,10.0307701894,-0.0152220687999,1.58737398091e-05
132.432432432,10.0308424798,-0.0153592600661,1.95912663582e-05
133.333333333,10.0309147702,-0.0154964513323,2.33087929073e-05
134.234234234,10.0309870605,-0.0156336425985,2.70263194563e-05
135.135135135,10.0310593509,-0.0157708338647,3.07438460054e-05
136.036036036,10.031131641,-0.0159080322766,3.18507117123e-05
136.936936937,10.0312039305,-0.0160452435508,2.82583879035e-05
137.837837838,10.03127622,-0.0161824548249,2.46660640947e-05
138.738738739,10.0313485095,-0.016319666099,2.10737402859e-05
139.63963964,10.031420799,-0.0164568773731,1.7481416477e-05
140.540540541,10.0314930886,-0.0165940886472,1.38890926682e-05
141.441441441,10.0315653781,-0.0167312999213,1.02967688594e-05
142.342342342,10.0316376676,-0.0168685111955,6.70444505057e-06
143.243243243,10.0317155272,-0.0170110232253,6.59072227772e-06
144.144144144,10.0318008136,-0.0171606029294,1.11151342195e-05
145.045045045,10.0318861,-0.0173101826336,1.56395461612e-05
145.945945946,10.0319713864,-0.0174597623377,2.0163958103e-05
146.846846847,10.0320566728,-0.0176093420419,2.46883700447e-05
147.747747748,10.0321419592,-0.017758921746,2.92127819865e-05
148.648648649,10.0322272456,-0.0179085014501,3.37371939283e-05
149.54954955,10.032312532,-0.0180580811543,3.826160587e-05
150.45045045,10.0323978179,-0.0182076749794,3.83466895546e-05
151.351351351,10.0324831033,-0.0183572829256,3.3992444982e-05
152.252252252,10.0325683888,-0.0185068908718,2.96382004094e-05
153.153153153,10.0326536742,-0.018656498818,2.52839558368e-05
154.054054054,10.0327389596,-0.0188061067642,2.09297112642e-05
154.954954955,10.0328242451,-0.0189557147104,1.65754666916e-05
155.855855856,10.0329095305,-0.0191053226567,1.22212221189e-05
156.756756757,10.0329948159,-0.0192549306029,7.86697754633e-06
157.657657658,10.0330888547,-0.0194128667833,9.15144509337e-06
158.558558559,10.0331894586,-0.0195770491395,1.46649467302e-05
159.459459459,10.0332900624,-0.0197412314957,2.01784483669e-05
160.36036036,10.0333906663,-0.0199054138518,2.56919500037e-05
161.261261261,10.0334912702,-0.020069596208,3.12054516405e-05
162.162162162,10.033591874,-0.0202337785641,3.67189532773e-05
163.063063063,10.0336924779,-0.0203979609203,4.2232454914e-05
163.963963964,10.0337930817,-0.0205621432765,4.77459565508e-05
164.864864865,10.0338936849,-0.0207263516897,4.63209689588e-05
165.765765766,10.0339942877,-0.0208905745791,4.10412651286e-05
166.666666667,10.0340948905,-0.0210547974686,3.57615612985e-05
167.567567568,10.0341954933,-0.021219020358,3.04818574683e-05
168.468468468,10.0342960961,-0.0213832432474,2.52021536381e-05
169.369369369,10.0343966989,-0.0215474661368,1.99224498079e-05
170.27027027,10.0344973018,-0.0217116890262,1.46427459777e-05
171.171171171,10.0345979046,-0.0218759119156,9.36304214754e-06
172.072072072,10.03471158,-0.0220523539643,1.26687650553e-05
172.972972973,10.0348304845,-0.0222336836766,1.94086586582e-05
173.873873874,10.0349493891,-0.022415013389,2.61485522611e-05
174.774774775,10.0350682936,-0.0225963431013,3.2888445864e-05
175.675675676,10.0351871981,-0.0227776728137,3.96283394669e-05
176.576576577,10.0353061026,-0.022959002526,4.63682330698e-05
177.477477477,10.0354250071,-0.0231403322384,5.31081266727e-05
178.378378378,10.0355439117,-0.0233216619507,5.98480202756e-05
179.279279279,10.0356628154,-0.0235030381591,5.62522377526e-05
180.18018018,10.0357817189,-0.0236844270482,4.98376344678e-05
181.081081081,10.0359006224,-0.0238658159373,4.34230311831e-05
181.981981982,10.0360195259,-0.0240472048263,3.70084278984e-05
182.882882883,10.0361384294,-0.0242285937154,3.05938246137e-05
