y,U_0,U_1,U_2
0,10.0280897335,0,1.01392909332e-06
0.900900900901,10.0280921541,-9.91049927539e-05,1.12753427353e-06
1.8018018018,10.0280945746,-0.000198209985508,1.24113945373e-06
2.7027027027,10.0280969952,-0.000297314978262,1.35474463393e-06
3.6036036036,10.0280994158,-0.000396419971016,1.46834981414e-06
4.5045045045,10.0281018364,-0.000495524963769,1.58195499434e-06
5.40540540541,10.028104257,-0.000594629956523,1.69556017454e-06
6.30630630631,10.0281066775,-0.000693736460496,1.62164874713e-06
7.20720720721,10.0281090981,-0.000792843266712,1.5102339982e-06
8.10810810811,10.0281115186,-0.000891950072928,1.39881924927e-06
9.00900900901,10.0281139392,-0.000991056879144,1.28740450033e-06
9.90990990991,10.0281163597,-0.00109016368536,1.1759897514e-06
10.8108108108,10.0281187803,-0.00118927049158,1.06457500247e-06
11.7117117117,10.0281242309,-0.00128891959118,1.22809314907e-06
12.6126126126,10.0281311966,-0.00138883983748,1.52907774345e-06
13.5135135135,10.0281381624,-0.00148876008378,1.83006233782e-06
14.4144144144,10.0281451281,-0.00158868033008,2.1310469322e-06
15.3153153153,10.0281520938,-0.00168860057637,2.43203152657e-06
16.2162162162,10.0281590595,-0.00178852082267,2.73301612095e-06
17.1171171171,10.0281660251,-0.00188844201672,2.73602045208e-06
18.018018018,10.0281729908,-0.00198836415852,2.44104451996e-06
18.9189189189,10.0281799564,-0.00208828630032,2.14606858784e-06
19.8198198198,10.028186922,-0.00218820844212,1.85109265573e-06
20.7207207207,10.0281938876,-0.00228813058392,1.55611672361e-06
21.6216216216,10.0282008532,-0.00238805272572,1.26114079149e-06
22.5225225225,10.0282093276,-0.00248841246814,1.21612415384e-06
23.4234234234,10.0282208196,-0.00258964741179,1.67102610511e-06
24.3243243243,10.0282323115,-0.00269088235544,2.12592805639e-06
25.2252252252,10.0282438034,-0.0027921172991,2.58083000767e-06
26.1261261261,10.0282552954,-0.00289335224275,3.03573195895e-06
27.027027027,10.0282667873,-0.0029945871864,3.49063391022e-06
27.9279279279,10.0282782792,-0.00309582247157,3.79549117116e-06
28.8288288288,10.028289771,-0.00319705946431,3.35012498051e-06
29.7297297297,10.0283012628,-0.00329829645705,2.90475878984e-06
30.6306306306,10.0283127546,-0.0033995334498,2.45939259918e-06
31.5315315315,10.0283242464,-0.00350077044254,2.01402640852e-06
32.4324324324,10.0283357381,-0.00360200743528,1.56866021785e-06
33.3333333333,10.0283472299,-0.00370324442803,1.12329402719e-06
34.2342342342,10.0283636588,-0.0038063045091,1.74672889756e-06
35.1351351351,10.0283800877,-0.00390936459018,2.37016376793e-06
36.036036036,10.0283965166,-0.00401242467125,2.99359863829e-06
36.9369369369,10.0284129454,-0.00411548475233,3.61703350866e-06
37.8378378378,10.0284293743,-0.00421854483341,4.24046837903e-06
38.7387387387,10.0284458032,-0.00432160491448,4.8639032494e-06
39.6396396396,10.0284622319,-0.00442466689581,4.45963299217e-06
40.5405405405,10.0284786606,-0.00452772925718,3.84982170942e-06
41.4414414414,10.0284950893,-0.00463079161856,3.24001042668e-06
42.3423423423,10.028511518,-0.00473385397994,2.63019914393e-06
43.2432432432,10.0285279467,-0.00483691634131,2.02038786118e-06
44.1441441441,10.0285443753,-0.00493997870269,1.41057657844e-06
45.045045045,10.0285642489,-0.00504468017095,1.74648590328e-06
45.9459459459,10.028585845,-0.00515020119266,2.55525553193e-06
46.8468468468,10.028607441,-0.00525572221438,3.36402516057e-06
47.7477477477,10.028629037,-0.00536124323609,4.17279478922e-06
48.6486486486,10.0286506331,-0.0054667642578,4.98156441786e-06
49.5495495495,10.0286722291,-0.00557228527951,5.7903340465e-06
50.4504504505,10.028693825,-0.00567780760619,5.79950725564e-06
51.3513513514,10.0287154208,-0.00578333123785,5.00908404527e-06
52.2522522523,10.0287370165,-0.0058888548695,4.21866083489e-06
53.1531531532,10.0287586123,-0.00599437850115,3.42823762452e-06
54.0540540541,10.0287802081,-0.00609990213281,2.63781441414e-06
54.954954955,10.0288018039,-0.00620542576446,1.84739120376e-06
55.8558558559,10.02882519,-0.00631198442157,1.65781736251e-06
56.7567567568,10.028852157,-0.00642061312959,2.66994225951e-06
57.6576576577,10.028879124,-0.00652924183761,3.68206715651e-06
58.5585585586,10.0289060909,-0.00663787054564,4.69419205351e-06
59.4594594595,10.0289330579,-0.00674649925366,5.7063169505e-06
60.3603603604,10.0289600249,-0.00685512796168,6.7184418475e-06
61.2612612613,10.0289869918,-0.00696375717957,7.39716854365e-06
62.1621621622,10.0290139584,-0.00707238894678,6.40890423551e-06
63.0630630631,10.029040925,-0.007181020714,5.42063992738e-06
63.963963964,10.0290678917,-0.00728965248122,4.43237561924e-06
64.8648648649,10.0290948583,-0.00739828424843,3.44411131111e-06
65.7657657658,10.0291218249,-0.00750691601565,2.45584700298e-06
66.6666666667,10.0291487916,-0.00761554778286,1.46758269484e-06
67.5675675676,10.0291813788,-0.00772799858367,2.7034646773e-06
68.4684684685,10.0292139661,-0.00784044938447,3.93934665975e-06
69.3693693694,10.0292465534,-0.00795290018527,5.17522864221e-06
70.2702702703,10.0292791407,-0.00806535098608,6.41111062466e-06
71.1711711712,10.029311728,-0.00817780178688,7.64699260712e-06
72.0720720721,10.0293443152,-0.00829025258768,8.88287458957e-06
72.972972973,10.0293769022,-0.00840270643758,8.08428953707e-06
73.8738738739,10.029409489,-0.0085151608973,6.87881107756e-06
74.7747747748,10.0294420759,-0.00862761535702,5.67333261806e-06
75.6756756757,10.0294746627,-0.00874006981674,4.46785415856e-06
76.5765765766,10.0295072496,-0.00885252427646,3.26237569906e-06
77.4774774775,10.0295398364,-0.00896497873617,2.05689723956e-06
78.3783783784,10.0295763892,-0.00908048989212,2.64417009796e-06
79.2792792793,10.0296149248,-0.00919752939618,4.12781861528e-06
80.1801801802,10.0296534605,-0.00931456890025,5.61146713263e-06
81.0810810811,10.0296919961,-0.00943160840431,7.09511564996e-06
81.981981982,10.0297305318,-0.00954864790837,8.57876416729e-06
82.8828828829,10.0297690675,-0.00966568741243,1.00624126846e-05
83.7837837838,10.0298076029,-0.00978272914205,1.00815601009e-05
84.6846846847,10.029846138,-0.00989977309722,8.636206416e-06
85.5855855856,10.0298846731,-0.0100168170524,7.19085273113e-06
86.4864864865,10.0299232083,-0.0101338610076,5.74549904626e-06
87.3873873874,10.0299617434,-0.0102509049627,4.30014536139e-06
88.2882882883,10.0300002785,-0.0103679489179,2.85479167653e-06
89.1891891892,10.0300409372,-0.0104867991718,2.47798925302e-06
90.0900900901,10.0300858429,-0.0106092620233,4.23828935225e-06
90.990990991,10.0301307486,-0.0107317248748,5.99858945147e-06
91.8918918919,10.0301756543,-0.0108541877263,7.7588895507e-06
92.7927927928,10.0302205601,-0.0109766505777,9.51918964992e-06
93.6936936937,10.0302654658,-0.0110991134292,1.12794897491e-05
94.5945945946,10.0303103714,-0.0112215771964,1.24610156702e-05
95.4954954955,10.0303552764,-0.0113440455418,1.07486707002e-05
96.3963963964,10.0304001815,-0.0114665138872,9.03632573031e-06
97.2972972973,10.0304450866,-0.0115889822326,7.32398076038e-06
98.1981981982,10.0304899916,-0.0117114505781,5.61163579045e-06
99.0990990991,10.0305348967,-0.0118339189235,3.89929082052e-06
100,10.0305798018,-0.0119563872689,2.18694585059e-06
100.900900901,10.0306316058,-0.0120851855883,4.25890680786e-06
101.801801802,10.0306834097,-0.0122139839077,6.33086776513e-06
102.702702703,10.0307352137,-0.0123427822271,8.40282872241e-06
103.603603604,10.0307870177,-0.0124715805465,1.04747896797e-05
104.504504505,10.0308388217,-0.0126003788659,1.2546750637e-05
105.405405405,10.0308906256,-0.0127291771853,1.46187115942e-05
106.306306306,10.0309424289,-0.012857981228,1.32873528298e-05
107.207207207,10.0309942321,-0.0129867864153,1.12753301211e-05
