y,U_0,U_1,U_2
0,10,0,0
0.900900900901,10,0,0
1.8018018018,10,0,0
2.7027027027,10,0,0
3.6036036036,10,0,0
4.5045045045,10,0,0
5.40540540541,10,0,0
6.30630630631,10,0,0
7.20720720721,10,0,0
8.10810810811,10,0,0
9.00900900901,10,0,0
9.90990990991,10,0,0
10.8108108108,10,0,0
11.7117117117,10,0,0
12.6126126126,10,0,0
13.5135135135,10,0,0
14.4144144144,10,0,0
15.3153153153,10,0,0
16.2162162162,10,0,0
17.1171171171,10,0,0
18.018018018,10,0,0
18.9189189189,10,0,0
19.8198198198,10,0,0
20.7207207207,10,0,0
21.6216216216,10,0,0
22.5225225225,10,0,0
23.4234234234,10,0,0
24.3243243243,10,0,0
25.2252252252,10,0,0
26.1261261261,10,0,0
27.027027027,10,0,0
27.9279279279,10,0,0
28.8288288288,10,0,0
29.7297297297,10,0,0
30.6306306306,10,0,0
31.5315315315,10,0,0
32.4324324324,10,0,0
33.3333333333,10,0,0
34.2342342342,10,0,0
35.1351351351,10,0,0
36.036036036,10,0,0
36.9369369369,10,0,0
37.8378378378,10,0,0
38.7387387387,10,0,0
39.6396396396,10,0,0
40.5405405405,10,0,0
41.4414414414,10,0,0
42.3423423423,10,0,0
43.2432432432,10,0,0
44.1441441441,10,0,0
45.045045045,10,0,0
45.9459459459,10,0,0
46.8468468468,10,0,0
47.7477477477,10,0,0
48.6486486486,10,0,0
49.5495495495,10,0,0
50.4504504505,10,0,0
51.3513513514,10,0,0
52.2522522523,10,0,0
53.1531531532,10,0,0
54.0540540541,10,0,0
54.954954955,10,0,0
55.8558558559,10,0,0
56.7567567568,10,0,0
57.6576576577,10,0,0
58.5585585586,10,0,0
59.4594594595,10,0,0
60.3603603604,10,0,0
61.2612612613,10,0,0
62.1621621622,10,0,0
63.0630630631,10,0,0
63.963963964,10,0,0
64.8648648649,10,0,0
65.7657657658,10,0,0
66.6666666667,10,0,0
67.5675675676,10,0,0
68.4684684685,10,0,0
69.3693693694,10,0,0
70.2702702703,10,0,0
71.1711711712,10,0,0
72.0720720721,10,0,0
72.972972973,10,0,0
73.8738738739,10,0,0
74.7747747748,10,0,0
75.6756756757,10,0,0
76.5765765766,10,0,0
77.4774774775,10,0,0
78.3783783784,10,0,0
79.2792792793,10,0,0
80.1801801802,10,0,0
81.0810810811,10,0,0
81.981981982,10,0,0
82.8828828829,10,0,0
83.7837837838,10,0,0
84.6846846847,10,0,0
85.5855855856,10,0,0
86.4864864865,10,0,0
87.3873873874,10,0,0
88.2882882883,10,0,0
89.1891891892,10,0,0
90.0900900901,10,0,0
90.990990991,10,0,0
91.8918918919,10,0,0
92.7927927928,10,0,0
93.6936936937,10,0,0
94.5945945946,10,0,0
95.4954954955,10,0,0
96.3963963964,10,0,0
97.2972972973,10,0,0
98.1981981982,10,0,0
99.0990990991,10,0,0
100,10,0,0
100.900900901,10,0,0
101.801801802,10,0,0
102.702702703,10,0,0
103.603603604,10,0,0
104.504504505,10,0,0
105.405405405,10,0,0
106.306306306,10,0,0
107.207207207,10,0,0
108.108108108,10,0,0
109.009009009,10,0,0
109.90990991,10,0,0
110.810810811,10,0,0
111.711711712,10,0,0
112.612612613,10,0,0
113.513513514,10,0,0
114.414414414,10,0,0
115.315315315,10,0,0
116.216216216,10,0,0
117.117117117,10,0,0
118.018018018,10,0,0
118.918918919,10,0,0
119.81981982,10,0,0
120.720720721,10,0,0
121.621621622,10,0,0
122.522522523,10,0,0
123.423423423,10,0,0
124.324324324,10,0,0
125.225225225,10,0,0
126.126126126,10,0,0
127.027027027,10,0,0
127.927927928,10,0,0
128.828828829,10,0,0
129.72972973,10,0,0
130.630630631,10,0,0
131.531531532,10,0,0
132.432432432,10,0,0
133.333333333,10,0,0
134.234234234,10,0,0
135.135135135,10,0,0
136.036036036,10,0,0
136.936936937,10,0,0
137.837837838,10,0,0
138.738738739,10,0,0
139.63963964,10,0,0
140.540540541,10,0,0
141.441441441,10,0,0
142.342342342,10,0,0
143.243243243,10,0,0
144.144144144,10,0,0
145.045045045,10,0,0
145.945945946,10,0,0
146.846846847,10,0,0
147.747747748,10,0,0
148.648648649,10,0,0
149.54954955,10,0,0
150.45045045,10,0,0
151.351351351,10,0,0
152.252252252,10,0,0
153.153153153,10,0,0
154.054054054,10,0,0
154.954954955,10,0,0
155.855855856,10,0,0
156.756756757,10,0,0
157.657657658,10,0,0
158.558558559,10,0,0
159.459459459,10,0,0
160.36036036,10,0,0
161.261261261,10,0,0
162.162162162,10,0,0
